TANGGAL,RR,RH_AVG,TAVG,SS,FF_AVG
2022-10-29,0.0,75.0,27.3,5.52,3.0
2022-10-30,0.0,72.0,27.4,6.32,3.0
2022-10-31,0.0,78.0,26.9,6.4,4.0
2022-11-01,1.8,83.0,26.9,4.64,4.0
2022-11-02,24.55,78.0,27.3,6.64,3.0
2022-11-03,47.3,90.0,25.9,3.84,4.0
2022-11-04,2.0,89.0,26.3,4.64,4.0
2022-11-05,18.7,88.0,25.8,4.0,4.0
2022-11-06,7.0,88.0,25.8,1.44,2.0
2022-11-07,16.6,94.0,24.8,1.6,3.0
2022-11-08,1.0,90.0,25.2,1.28,2.0
2022-11-09,13.8,87.0,25.6,1.6,3.0
2022-11-10,9.3,91.0,24.8,1.12,2.0
2022-11-11,32.2,92.0,25.3,2.64,3.0
2022-11-12,4.8,89.0,25.4,2.0,3.0
2022-11-13,52.6,96.0,23.8,3.2,3.0
2022-11-14,25.3,90.0,26.0,6.0,3.0
2022-11-15,12.3,86.0,25.9,2.24,3.0
2022-11-16,0.0,89.0,25.8,2.64,3.0
2022-11-17,12.8,91.0,24.9,0.0,2.0
2022-11-18,5.6,80.0,26.6,5.52,3.0
2022-11-19,2.4,81.0,26.7,5.12,4.0
2022-11-20,1.2,78.0,26.8,3.92,5.0
2022-11-21,0.0,78.0,27.0,3.52,4.0
2022-11-22,0.0,80.0,26.4,5.04,4.0
2022-11-23,0.0,85.0,26.7,2.64,5.0
2022-11-24,10.4,84.0,26.1,2.48,3.0
2022-11-25,12.5,84.0,25.9,1.04,3.0
2022-11-26,0.0,84.0,26.4,0.32,2.0
2022-11-27,0.0,85.0,26.2,2.0,3.0
2022-11-28,1.0,90.0,25.6,5.6,3.0
2022-11-29,32.2,79.0,26.6,6.48,4.0
2022-11-30,0.0,84.0,26.5,4.0,4.0
2022-12-01,0.3,85.0,26.3,5.52,3.0
2022-12-02,0.6,86.0,25.8,1.84,3.0
2022-12-03,0.0,81.0,26.6,5.6,3.0
2022-12-04,1.3,87.0,25.9,4.64,3.0
2022-12-05,35.5,88.0,25.7,5.84,3.0
2022-12-06,0.2,93.0,24.8,2.88,3.0
2022-12-07,33.9,88.0,25.6,3.6,4.0
2022-12-08,15.8,89.0,26.0,2.4,4.0
2022-12-09,12.55,92.0,24.5,1.28,3.0
2022-12-10,9.3,81.0,26.5,3.28,3.0
2022-12-11,0.0,81.0,26.8,3.68,3.0
2022-12-12,0.0,79.0,26.8,4.64,3.0
2022-12-13,0.4,88.0,25.0,4.0,3.0
2022-12-14,0.1,73.0,28.1,1.6,3.0
2022-12-15,2.5,83.0,26.7,5.52,4.0
2022-12-16,0.0,84.0,26.8,4.0,5.0
2022-12-17,0.0,86.0,26.0,0.0,3.0
2022-12-18,1.1,86.0,26.0,5.04,3.0
2022-12-19,1.0,78.0,26.1,2.88,3.0
2022-12-20,0.0,83.0,27.0,4.24,2.0
2022-12-21,0.8,87.0,26.1,5.04,4.0
2022-12-22,9.3,77.0,26.7,0.08,3.0
2022-12-23,8.9,86.0,25.7,0.4,4.0
2022-12-24,14.55,82.0,26.5,0.64,3.0
2022-12-25,20.2,92.0,24.6,0.0,4.0
2022-12-26,9.2,91.0,24.9,0.0,3.0
2022-12-27,22.9,85.0,24.6,0.0,3.0
2022-12-28,3.0,92.0,23.4,0.0,4.0
2022-12-29,26.2,91.0,24.0,0.0,3.0
2022-12-30,18.7,93.0,24.4,0.0,4.0
2022-12-31,1.5,92.0,24.3,0.0,2.0
2023-01-01,30.5,89.0,24.3,0.0,4.0
2023-01-02,25.0,92.0,24.4,2.08,4.0
2023-01-03,21.8,89.0,24.3,0.0,4.0
2023-01-04,10.6,85.0,25.4,2.72,4.0
2023-01-05,1.9,83.0,26.0,2.48,4.0
2023-01-06,0.0,75.0,26.6,4.8,4.0
2023-01-07,0.0,73.0,27.5,1.6,4.0
